desarrollo,colonia,m2_interiores,m2_totales,m2_jardin,m2_terraza,estacionamientos,eje,precio_listado,precio_cerrado,descuento_pct,fecha_creacion,fecha_firma,anio_firma,mes_firma,dias_creacion_a_firma,precio_m2
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2761044.24,2719628.58,1.5,11/13/2020,3/6/2022,2022,3,478,18538.708793456033
Serena,Altos Juriquilla,151.3,185.6,34.3,0,2,Horizontal,3246607.87,3149209.63,3,4/17/2020,3/15/2022,2022,3,697,20814.339920687373
Loretta,Altos Juriquilla,110.4,185.1,74.7,0,2,Horizontal,2763884.45,2705287.34,2.5,11/13/2020,3/15/2022,2022,3,487,24504.41431
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2794126.67,2794126.67,0,11/13/2020,3/12/2022,2022,3,484,18803.00585464334
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2761044.24,2792944.24,0,11/13/2020,3/12/2022,2022,3,484,19038.474710293118
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2811730.22,2822230.22,0,11/13/2020,3/12/2022,2022,3,484,19238.106475800956
Loretta,Altos Juriquilla,138.8,219.2,80.4,0,2,Horizontal,3063084.02,2986506.92,2.5,11/13/2020,3/15/2022,2022,3,487,21516.62046
Alondra,Altos Juriquilla,134.1,159,24.9,0,2,Horizontal,3182280,3087132.16,2.5,2/17/2022,3/25/2022,2022,3,36,23021.119761372112
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2811730.22,2756478.31,3,11/13/2020,3/28/2022,2022,3,500,18789.89986366735
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2794126.67,2799626.67,0,11/13/2020,3/12/2022,2022,3,484,18840.01796769852
Amara Grand,Altos Juriquilla,190.7,227.8,37.1,0,2,Horizontal,3902206.4,3902206.4,0,7/9/2018,3/20/2022,2022,3,1350,20462.54011536445
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2881138.52,2971038.52,0,11/13/2020,3/21/2022,2022,3,493,20252.477982276756
Loretta,Altos Juriquilla,138.8,224.9,86.1,0,2,Horizontal,3257237.43,3267737.43,0,11/13/2020,3/21/2022,2022,3,493,23542.776873198847
Loretta,Altos Juriquilla,138.8,231.4,92.6,0,2,Horizontal,3270652.86,3270652.86,0,11/13/2020,3/19/2022,2022,3,491,23563.781412103745
Serena,Altos Juriquilla,151.3,186.4,35.1,0,2,Horizontal,3248132.96,3259130.97,0,4/17/2020,3/27/2022,2022,3,709,21540.852412425644
